sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,|W_i|,W_i . W_ref,GyroXnew,GyroYnew,GyroZnew,Vx,Vy,Vz,ux,uy,uz,ux-angle,uy-angle,uz-angle
1580,-0.479003906,0.544921875,0.639160156,14.16312977,14.03267176,-0.388854962,19.94144753,205.4131384,14.16312977,14.03267176,-0.388854962,,,,,,,,,
1127,0.525390625,-0.471679688,0.710205078,-13.93610687,-14.23450382,-0.984274809,19.94504877,-205.5722639,13.93610687,14.23450382,0.984274809,,,,,,,,,
1735,0.425292969,-0.357666016,-0.8984375,13.94938931,14.26167939,0.107328244,19.94974888,205.7019876,13.94938931,14.26167939,0.107328244,,,,,,,,,
1357,-0.638427734,0.703857422,0.275878906,-14.02770992,-14.1810687,-0.480458015,19.95269894,-205.7270055,14.02770992,14.1810687,0.480458015,,,,,,,,,
1734,0.418212891,-0.346191406,-0.903564453,14.12496183,14.09374046,0.092061069,19.95386033,205.6905797,14.12496183,14.09374046,0.092061069,,,,,,,,,
1772,0.725585938,-0.660644531,-0.361083984,13.8959542,14.32274809,0.015725191,19.95592401,205.7614789,13.8959542,14.32274809,0.015725191,,,,,,,,,
1295,-0.393798828,0.457763672,-0.812255859,-13.92847328,-14.28793893,-0.442290076,19.9585367,-205.8138192,13.92847328,14.28793893,0.442290076,,,,,,,,,
1243,0.254638672,-0.176025391,-1.016357422,-13.60022901,-14.59328244,-0.709465649,19.96079816,-205.8162893,13.60022901,14.59328244,0.709465649,,,,,,,,,
1567,-0.340576172,0.383789063,0.83203125,14.29290076,13.93343511,-0.182748092,19.9614885,205.6323722,14.29290076,13.93343511,-0.182748092,,,,,,,,,
1350,-0.650390625,0.712890625,0.119873047,-13.75290076,-14.45587786,-0.686564885,19.96462009,-205.8690357,13.75290076,14.45587786,0.686564885,,,,,,,,,
1869,0.127929688,-0.088867188,0.994628906,14.04099237,14.1929771,0.351603053,19.96781636,205.8857088,14.04099237,14.1929771,0.351603053,,,,,,,,,
1217,0.539550781,-0.453857422,-0.775878906,-13.68419847,-14.52458015,-0.831603053,19.97278849,-205.9224317,13.68419847,14.52458015,0.831603053,,,,,,,,,
1786,0.762939453,-0.683837891,-0.107666016,14.10969466,14.13954198,0.076793893,19.97538556,205.9216164,14.10969466,14.13954198,0.076793893,,,,,,,,,
1587,-0.523193359,0.538330078,0.622802734,14.11732824,14.13954198,-0.190381679,19.98153772,205.9247205,14.11732824,14.13954198,-0.190381679,,,,,,,,,
1785,0.748535156,-0.687988281,-0.135498047,14.06389313,14.20061069,-0.022442748,19.98626872,206.0338616,14.06389313,14.20061069,-0.022442748,,,,,,,,,
1884,-0.063720703,0.103027344,0.993896484,13.97992366,14.26931298,0.634045802,19.98633465,206.0766685,13.97992366,14.26931298,0.634045802,,,,,,,,,
1075,-0.112548828,0.180175781,0.988525391,-14.30251908,-13.96732824,-0.320152672,19.99376923,-206.0502512,14.30251908,13.96732824,0.320152672,,,,,,,,,
1385,-0.454101563,0.494384766,0.711669922,-14.07351145,-14.19633588,-0.434656489,19.99471438,-206.1576575,14.07351145,14.19633588,0.434656489,,,,,,,,,
1393,-0.370849609,0.410888672,0.790527344,-13.86740458,-14.39480916,-0.633129771,19.99790724,-206.2155126,13.86740458,14.39480916,0.633129771,,,,,,,,,
1200,0.689208984,-0.633300781,-0.518310547,-13.94374046,-14.32610687,-0.518625954,19.99835515,-206.2221718,13.94374046,14.32610687,0.518625954,,,,,,,,,
1736,0.438232422,-0.371582031,-0.88671875,13.92648855,14.35328244,-0.01480916,19.99910047,206.2007516,13.92648855,14.35328244,-0.01480916,,,,,,,,,
1252,0.125732422,-0.061035156,-1.049072266,-13.73,-14.53221374,-0.587328244,20.00107724,-206.258052,13.73,14.53221374,0.587328244,,,,,,,,,
1220,0.517089844,-0.439941406,-0.803466797,-13.90557252,-14.3719084,-0.442290076,20.00280777,-206.2788836,13.90557252,14.3719084,0.442290076,,,,,,,,,
1294,-0.383544922,0.461914063,-0.820068359,-13.86740458,-14.41007634,-0.549160305,20.00641864,-206.3135779,13.86740458,14.41007634,0.549160305,,,,,,,,,
1893,-0.185791016,0.206787109,0.998291016,13.97992366,14.30748092,0.351603053,20.00664641,206.3079593,13.97992366,14.30748092,0.351603053,,,,,,,,,
1743,0.519042969,-0.441894531,-0.792480469,14.17839695,14.11664122,0.084427481,20.00783915,206.2398117,14.17839695,14.11664122,0.084427481,,,,,,,,,
1186,0.742431641,-0.661865234,-0.276611328,-13.78343511,-14.4940458,-0.541526718,20.00884051,-206.3434684,13.78343511,14.4940458,0.541526718,,,,,,,,,
