sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,-0.2841796875,0.324462890625,0.87255859375,-1.9465648854961832,0.05343511450381679,-0.007633587786259542
1,-0.282958984375,0.3251953125,0.8759765625,-2.045801526717557,0.20610687022900764,0.08396946564885496
2,-0.282470703125,0.327880859375,0.87890625,-1.8702290076335877,0.29770992366412213,0.1984732824427481
3,-0.28515625,0.32666015625,0.87548828125,-2.045801526717557,0.15267175572519084,0.3893129770992366
4,-0.27978515625,0.328857421875,0.878173828125,-1.8015267175572518,0.6335877862595419,0.26717557251908397
5,-0.2802734375,0.32958984375,0.871826171875,-1.7099236641221374,0.0916030534351145,0.33587786259541985
6,-0.27880859375,0.326904296875,0.871826171875,-1.7786259541984732,0.09923664122137404,0.17557251908396945
7,-0.28173828125,0.32470703125,0.8740234375,-1.6870229007633588,0.3816793893129771,-0.2748091603053435
8,-0.285400390625,0.329833984375,0.87060546875,-1.8625954198473282,0.6564885496183206,0.030534351145038167
9,-0.284912109375,0.3291015625,0.87939453125,-1.9465648854961832,0.15267175572519084,0.2595419847328244
10,-0.283935546875,0.323974609375,0.87548828125,-1.6946564885496183,0.2595419847328244,0.1984732824427481
11,-0.281982421875,0.32861328125,0.87353515625,-1.83206106870229,0.5572519083969466,0.2900763358778626
12,-0.281982421875,0.32763671875,0.87353515625,-1.83206106870229,-0.16030534351145037,-0.05343511450381679
13,-0.286376953125,0.329833984375,0.867431640625,-1.786259541984733,0.15267175572519084,0.17557251908396945
14,-0.284423828125,0.326904296875,0.8759765625,-1.5419847328244274,0.2748091603053435,0.37404580152671757
15,-0.28173828125,0.32666015625,0.868408203125,-1.9465648854961832,0.24427480916030533,0.26717557251908397
16,-0.285400390625,0.328857421875,0.87255859375,-1.7557251908396947,0.3435114503816794,0.1297709923664122
17,-0.281494140625,0.325439453125,0.87109375,-1.9236641221374047,0.29770992366412213,0.22137404580152673
18,-0.279296875,0.32666015625,0.8720703125,-1.916030534351145,0.3893129770992366,0.25190839694656486
19,-0.279541015625,0.331787109375,0.879150390625,-1.7328244274809161,0.21374045801526717,0.08396946564885496
20,-0.282470703125,0.32763671875,0.870849609375,-1.8396946564885497,0.10687022900763359,0.15267175572519084
21,-0.283447265625,0.328857421875,0.872802734375,-1.6030534351145038,0.4351145038167939,0.16793893129770993
22,-0.282470703125,0.324462890625,0.874267578125,-1.9770992366412214,0.2824427480916031,-0.0916030534351145
23,-0.2822265625,0.326171875,0.878173828125,-1.7633587786259541,0.20610687022900764,0.3435114503816794
24,-0.28662109375,0.328125,0.86767578125,-1.7557251908396947,0.37404580152671757,0.061068702290076333
25,-0.284912109375,0.328369140625,0.87451171875,-1.8549618320610688,0.21374045801526717,0.09923664122137404
