sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,0.738525390625,-0.7001953125,0.028564453125,-1.9236641221374047,-0.007633587786259542,-0.3511450381679389
1,0.735107421875,-0.699462890625,0.031005859375,-2.49618320610687,0.15267175572519084,-0.2748091603053435
2,0.734619140625,-0.70166015625,0.034423828125,-1.984732824427481,0.183206106870229,-0.061068702290076333
3,0.733642578125,-0.699462890625,0.033935546875,-2.0839694656488548,-0.09923664122137404,-0.15267175572519084
4,0.738525390625,-0.703125,0.03173828125,-2.1755725190839694,0.12213740458015267,-0.3282442748091603
5,0.7333984375,-0.701171875,0.03271484375,-1.786259541984733,0.06870229007633588,-0.3282442748091603
6,0.734130859375,-0.701171875,0.03369140625,-1.9312977099236641,-0.007633587786259542,-0.5190839694656488
7,0.737060546875,-0.699951171875,0.023681640625,-2.1297709923664123,0.33587786259541985,-0.42748091603053434
8,0.737548828125,-0.70068359375,0.0322265625,-1.8625954198473282,0.1450381679389313,-0.2824427480916031
9,0.734619140625,-0.701904296875,0.033203125,-2.236641221374046,-0.11450381679389313,-0.25190839694656486
10,0.73828125,-0.701904296875,0.032470703125,-2.1068702290076335,0.1984732824427481,-0.2824427480916031
11,0.73681640625,-0.70263671875,0.032470703125,-2.030534351145038,-0.0916030534351145,-0.45038167938931295
12,0.73583984375,-0.701171875,0.028564453125,-2.5419847328244276,-0.10687022900763359,-0.21374045801526717
13,0.7373046875,-0.702392578125,0.04052734375,-1.9541984732824427,0.06870229007633588,-0.35877862595419846
14,0.735107421875,-0.701416015625,0.033935546875,-1.9770992366412214,-0.05343511450381679,-0.061068702290076333
15,0.73388671875,-0.7021484375,0.031982421875,-2.1374045801526718,-0.061068702290076333,-0.40458015267175573
16,0.734619140625,-0.699951171875,0.030029296875,-2.3053435114503817,0.07633587786259542,-0.09923664122137404
17,0.734375,-0.702392578125,0.029541015625,-2.0229007633587788,-0.022900763358778626,-0.25190839694656486
18,0.733154296875,-0.70068359375,0.03076171875,-2.0,0.015267175572519083,-0.12213740458015267
19,0.73388671875,-0.699951171875,0.0341796875,-2.0763358778625953,-0.25190839694656486,-0.4732824427480916
20,0.7392578125,-0.698974609375,0.0341796875,-2.145038167938931,0.03816793893129771,-0.4122137404580153
21,0.738525390625,-0.7021484375,0.03515625,-2.099236641221374,0.1297709923664122,-0.2900763358778626
22,0.733642578125,-0.699462890625,0.0244140625,-2.2290076335877864,-0.04580152671755725,-0.5725190839694656
23,0.733154296875,-0.700439453125,0.032470703125,-2.045801526717557,-0.007633587786259542,-0.24427480916030533
24,0.72998046875,-0.698486328125,0.03125,-1.984732824427481,0.3282442748091603,-0.22137404580152673
25,0.72802734375,-0.701904296875,0.03076171875,-2.2519083969465647,-0.11450381679389313,-0.2900763358778626
26,0.739990234375,-0.701171875,0.024658203125,-2.2977099236641223,0.16793893129770993,-0.40458015267175573
27,0.730712890625,-0.69921875,0.028076171875,-1.9541984732824427,0.16793893129770993,-0.2900763358778626
28,0.73583984375,-0.69970703125,0.027099609375,-1.9083969465648856,0.13740458015267176,-0.16030534351145037
