sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,-0.29638671875,0.32421875,-0.874755859375,-0.40458015267175573,0.15267175572519084,-0.7557251908396947
1,-0.29638671875,0.325927734375,-0.888671875,-0.22900763358778625,-0.015267175572519083,-0.7404580152671756
2,-0.296875,0.327880859375,-0.883056640625,-0.2824427480916031,0.10687022900763359,-0.6183206106870229
3,-0.296875,0.322998046875,-0.8857421875,-0.6183206106870229,0.16793893129770993,-0.8091603053435115
4,-0.29931640625,0.328369140625,-0.885498046875,-0.7557251908396947,0.25190839694656486,-0.7099236641221374
5,-0.30078125,0.3310546875,-0.879638671875,-0.5648854961832062,0.12213740458015267,-0.8473282442748091
6,-0.298583984375,0.319580078125,-0.885009765625,-0.5190839694656488,-0.04580152671755725,-0.7786259541984732
7,-0.298095703125,0.322509765625,-0.884033203125,-0.4351145038167939,0.06870229007633588,-0.7022900763358778
8,-0.297119140625,0.3212890625,-0.88720703125,-0.6335877862595419,0.16793893129770993,-0.6412213740458015
9,-0.299072265625,0.3232421875,-0.882568359375,-0.3816793893129771,0.2748091603053435,-0.5572519083969466
10,-0.298095703125,0.32958984375,-0.888671875,-0.4732824427480916,0.12213740458015267,-0.6259541984732825
11,-0.2978515625,0.3271484375,-0.886962890625,-0.11450381679389313,0.08396946564885496,-0.7938931297709924
12,-0.29443359375,0.328125,-0.8818359375,-0.549618320610687,-0.16030534351145037,-0.6793893129770993
13,-0.296142578125,0.326171875,-0.88720703125,-0.45038167938931295,0.16793893129770993,-0.5419847328244275
14,-0.298583984375,0.32763671875,-0.885498046875,-0.3435114503816794,-0.12213740458015267,-0.7251908396946565
15,-0.298095703125,0.324462890625,-0.883056640625,-0.6641221374045801,0.03816793893129771,-0.8625954198473282
16,-0.299072265625,0.328369140625,-0.88232421875,-0.5267175572519084,0.05343511450381679,-0.648854961832061
17,-0.296630859375,0.330078125,-0.8828125,-0.7175572519083969,-0.0916030534351145,-0.9465648854961832
18,-0.298095703125,0.324462890625,-0.880859375,-0.6030534351145038,-0.04580152671755725,-1.0229007633587786
19,-0.294921875,0.325439453125,-0.88330078125,-0.3511450381679389,-0.061068702290076333,-0.6564885496183206
20,-0.298828125,0.326416015625,-0.8818359375,-0.549618320610687,-0.03816793893129771,-0.6412213740458015
21,-0.3017578125,0.323486328125,-0.88720703125,-0.5572519083969466,-0.1450381679389313,-0.8473282442748091
22,-0.298828125,0.328369140625,-0.88427734375,-0.8778625954198473,0.08396946564885496,-0.7022900763358778
23,-0.295166015625,0.32958984375,-0.890380859375,-0.45038167938931295,-0.20610687022900764,-0.9083969465648855
24,-0.298583984375,0.32666015625,-0.884033203125,-0.4961832061068702,0.03816793893129771,-0.7709923664122137
25,-0.294921875,0.3212890625,-0.8857421875,-0.6793893129770993,0.19083969465648856,-0.6870229007633588
26,-0.29931640625,0.325439453125,-0.880859375,-0.8549618320610687,0.0916030534351145,-0.816793893129771
27,-0.297119140625,0.324951171875,-0.886474609375,-0.2748091603053435,0.11450381679389313,-0.7099236641221374
28,-0.29638671875,0.32568359375,-0.88232421875,-0.35877862595419846,0.061068702290076333,-0.7251908396946565
29,-0.294189453125,0.326416015625,-0.8828125,-0.6717557251908397,-0.10687022900763359,-0.6259541984732825
30,-0.297607421875,0.32470703125,-0.88671875,-0.6030534351145038,0.183206106870229,-0.6412213740458015
31,-0.298583984375,0.325927734375,-0.884033203125,-0.4961832061068702,0.11450381679389313,-0.6183206106870229
32,-0.29931640625,0.32373046875,-0.887451171875,-0.366412213740458,-0.11450381679389313,-0.7175572519083969
33,-0.301025390625,0.328125,-0.882568359375,-0.7633587786259542,0.16793893129770993,-0.9465648854961832
34,-0.2998046875,0.325927734375,-0.88671875,-0.46564885496183206,-0.06870229007633588,-0.9541984732824428
35,-0.297607421875,0.327392578125,-0.88818359375,-0.48091603053435117,0.007633587786259542,-0.6870229007633588
36,-0.298583984375,0.3251953125,-0.8837890625,-0.7022900763358778,0.061068702290076333,-0.816793893129771
37,-0.29833984375,0.322998046875,-0.882080078125,-0.732824427480916,-0.1450381679389313,-0.816793893129771
38,-0.297607421875,0.3271484375,-0.877685546875,-0.9694656488549618,0.2595419847328244,-0.8091603053435115
39,-0.299072265625,0.323974609375,-0.880126953125,-0.5038167938931297,0.16793893129770993,-0.7480916030534351
40,-0.29638671875,0.3251953125,-0.888427734375,-0.5954198473282443,-0.05343511450381679,-0.9236641221374046
41,-0.296142578125,0.325439453125,-0.889404296875,-0.5877862595419847,0.25190839694656486,-0.7709923664122137
42,-0.30126953125,0.323974609375,-0.881591796875,-0.5343511450381679,-0.09923664122137404,-0.5114503816793893
43,-0.290771484375,0.3134765625,-0.883056640625,-0.5114503816793893,0.10687022900763359,-0.5114503816793893
44,-0.298583984375,0.327392578125,-0.8876953125,-0.3053435114503817,0.17557251908396945,-0.9236641221374046
45,-0.295166015625,0.3271484375,-0.889892578125,-0.7022900763358778,0.07633587786259542,-1.0687022900763359
46,-0.294677734375,0.326416015625,-0.880859375,-0.648854961832061,-0.06870229007633588,-0.9236641221374046
47,-0.296142578125,0.32958984375,-0.8837890625,-0.48854961832061067,-0.16030534351145037,-0.7938931297709924
48,-0.299072265625,0.328369140625,-0.88232421875,-0.5572519083969466,-0.05343511450381679,-0.9312977099236641
49,-0.2958984375,0.326904296875,-0.883544921875,-0.40458015267175573,0.2595419847328244,-1.0076335877862594
50,-0.29931640625,0.328125,-0.891357421875,-0.33587786259541985,-0.10687022900763359,-0.8549618320610687
51,-0.299560546875,0.32568359375,-0.878173828125,-0.48854961832061067,-0.007633587786259542,-0.8244274809160306
52,-0.297119140625,0.323486328125,-0.88232421875,-0.8396946564885496,0.0916030534351145,-0.42748091603053434
53,-0.29736328125,0.32666015625,-0.882080078125,-0.0916030534351145,0.06870229007633588,-0.8854961832061069
54,-0.29833984375,0.325439453125,-0.879638671875,-0.5419847328244275,-0.1297709923664122,-0.3816793893129771
55,-0.298095703125,0.323974609375,-0.8828125,-0.3511450381679389,-0.10687022900763359,-0.9923664122137404
